cv_index,cv_position,rank,job_index,job_position,job_company,job_location,cosine_score
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,195,"Research Scientist, Machine Learning and Intelligence",Google,"Mountain View, CA",0.4979
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,109,NLP Engineer,UniBit Inc.,"Boston, MA",0.4836
17,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.468
18,Project Coordinator (Civil),1,167,Senior Mobile Developer (React Native),R/GA,"Austin, TX",0.621
18,Project Coordinator (Civil),2,125,Senior Front-End Engineer,Usermind,"Seattle, WA",0.5034
18,Project Coordinator (Civil),3,158,Lead Data Engineer,TARGET,"Sunnyvale, CA",0.4649
18,Project Coordinator (Civil),4,96,Sr. Software Development Manager,Amazon.com,"Seattle, WA",0.4526
18,Project Coordinator (Civil),5,5,Senior Architect 1,Nielsen,"Chicago, IL 60647",0.4502
18,Project Coordinator (Civil),6,51,IoT Intern (Computer Science/Electrical Engineering),Delos,"New York, NY 10014 ",0.45
18,Project Coordinator (Civil),7,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.4445
18,Project Coordinator (Civil),8,49,Engineering Leadership - Data Engineering,Riot Games,"Los Angeles, CA",0.4421
18,Project Coordinator (Civil),9,13,Networks Technology Strategy and Partnerships Manager,Samsung Research America,"Mountain View, CA",0.4414
18,Project Coordinator (Civil),10,123,Research Intern - Systems,Microsoft,"Redmond, WA 98052",0.4355
19,Executive/ Sr. Executive -IT,1,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.5209
19,Executive/ Sr. Executive -IT,2,139,Machine Learning Data Scientist-Equity Investment Research,Analytic Recruiting,"New York, NY 10017 ",0.5199
19,Executive/ Sr. Executive -IT,3,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.5038
19,Executive/ Sr. Executive -IT,4,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.501
19,Executive/ Sr. Executive -IT,5,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.5008
19,Executive/ Sr. Executive -IT,6,193,Senior Data Scientist,Castlight Health,"San Francisco, CA 94105",0.4805
19,Executive/ Sr. Executive -IT,7,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.4792
19,Executive/ Sr. Executive -IT,8,52,Principal Machine / Deep Learning Scientist,JD.com,"Mountain View, CA",0.479
19,Executive/ Sr. Executive -IT,9,88,Sales Engineer,Anaconda,"Austin, TX",0.4654
19,Executive/ Sr. Executive -IT,10,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4617
20,Mechanical Engineer,1,69,Business Intelligence Research Analyst,Group One Trading,"New York, NY",0.4405
20,Mechanical Engineer,2,14,CIB Chief Data Science Office-Data Scientist – VP - New York,JP Morgan Chase,"New York, NY 10179 ",0.4234
20,Mechanical Engineer,3,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.4119
20,Mechanical Engineer,4,142,Data Science Manager,"Two Sigma Investments, LLC.","New York, NY",0.4116
20,Mechanical Engineer,5,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.4091
20,Mechanical Engineer,6,87,"Data Scientist, Insights Team (Siri Search and Knowledge)",Apple,"San Francisco, CA 94114",0.4002
20,Mechanical Engineer,7,95,Quantitative Marketing Analyst,A Place for Mom,"Seattle, WA",0.3963
20,Mechanical Engineer,8,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.3866
20,Mechanical Engineer,9,28,Executive Director - Finance Decision Sciences,JP Morgan Chase,"Chicago, IL 60603",0.3844
20,Mechanical Engineer,10,86,"Principal, Data Scientist",Smith Hanley Associates,"San Francisco, CA",0.3838
21,Network Support Engineer,1,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5267
21,Network Support Engineer,2,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.5182
21,Network Support Engineer,3,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5175
21,Network Support Engineer,4,64,Data Engineer,Workbridge Associates,"Mountain View, CA",0.5126
21,Network Support Engineer,5,20,Data Science Fellow,Øptimus Consulting,"Washington, DC 20005",0.5104
21,Network Support Engineer,6,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.5087
21,Network Support Engineer,7,81,GIS Solution Lead,Hatch,"Washington, DC",0.5021
21,Network Support Engineer,8,51,IoT Intern (Computer Science/Electrical Engineering),Delos,"New York, NY 10014 ",0.5003
21,Network Support Engineer,9,131,Entry-Level Technical Writer/Proposal Coordinator: Public Sector,Civis Analytics,"Washington, DC",0.4994
21,Network Support Engineer,10,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.4931
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",1,25,Data Scientist,Internet Brands,"Los Angeles, CA",0.6492
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",2,85,"Sr. Applied Scientist, Analytics, Insights and Measurements",Amazon.com,"Seattle, WA",0.6364
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3,70,Sr. Software Engineer - Machine Learning,Vulcan Inc.,"Seattle, WA",0.6275
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",4,181,"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA",0.6215
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",5,88,Sales Engineer,Anaconda,"Austin, TX",0.6207
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",6,185,AI Research in Machine Learning(ML),JD.com,"Mountain View, CA",0.6173
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",7,27,Software Development Engineer,Microsoft,"Cambridge, MA",0.6061
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",8,117,Machine Learning Eng Amazon AI,Amazon.com,"Seattle, WA",0.6027
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",9,10,Statistical Machine Learning Scientist,AIG,"New York, NY",0.6005
22,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",10,124,"Technical Evangelist – Database, Analytics, and Machine Learning",Amazon.com,"Atlanta, GA",0.5949
23,Intern (Generative AI Engineering - 2D/3D Image Generation),1,156,Operations Research and Risk Analyst,Systems Planning and Analysis,"San Diego, CA",0.5162
23,Intern (Generative AI Engineering - 2D/3D Image Generation),2,151,Laboratory Informatics Specialist,Natera,"San Carlos, CA 94070",0.5147
23,Intern (Generative AI Engineering - 2D/3D Image Generation),3,58,"Staffing Services Specialist, Hiring Committee Training",Google,"Mountain View, CA",0.4901
23,Intern (Generative AI Engineering - 2D/3D Image Generation),4,177,Data Scientist,Kemper Corporation,"Chicago, IL",0.4822
23,Intern (Generative AI Engineering - 2D/3D Image Generation),5,93,Environmental Scientist,Eagle SNG,"Parsippany, NJ",0.4755
23,Intern (Generative AI Engineering - 2D/3D Image Generation),6,154,Automation Engineer,Zymergen,"Emeryville, CA 94608",0.4731
23,Intern (Generative AI Engineering - 2D/3D Image Generation),7,184,Water Resources Engineer 5,CDM Smith,"Austin, TX 78727",0.4697
23,Intern (Generative AI Engineering - 2D/3D Image Generation),8,163,Technical Specialist I-Mechanical (663397),Ball Aerospace,"Boulder, CO",0.4584
23,Intern (Generative AI Engineering - 2D/3D Image Generation),9,68,Sr Quantitative Finance Analyst,Bank of America,"San Francisco, CA 94104",0.4403
23,Intern (Generative AI Engineering - 2D/3D Image Generation),10,122,"Data Analyst, Business Operations",DataRobot,"Boston, MA 02109",0.4225
24,Executive - VAT,1,74,Data Scientist,Diverse Lynx,"Redmond, WA",0.5997
